mach,planform_area,angle_of_attack,lift,induced_drag,parasitic_drag,wave_drag,total_drag,lift_over_drag
0.8,1,9.0,0.3923309142,0.022326061307,0.008749590586435308,0.0037202275211941286,0.03479587941462944,11.275211915898582
0.8,1,10.0,0.434662322903,0.027441246647,0.008749590586435308,0.004290122339729083,0.040480959573164395,10.737451075422284
0.8,1,11.0,0.476170244654,0.032971234391,0.008749590586435308,0.004910170098370357,0.04663099507580566,10.211453645368579
0.8,1,12.0,0.51400244636,0.038387451033,0.008749590586435308,0.00553173209124042,0.052668773710675736,9.759149684850437
0.8,1,13.0,0.546808566773,0.043333557846,0.008749590586435308,0.006116922109931576,0.05820007054236688,9.395324811074747
0.8,1,14.0,0.574856235809,0.047730717792,0.008749590586435308,0.006653022603690062,0.06313333098212537,9.10543174051368
0.8,1,15.0,0.598458633933,0.051512610397,0.008749590586435308,0.007130821242794188,0.06739302222622949,8.880127558667027
0.8,1,16.0,0.617792106531,0.054584738607,0.008749590586435308,0.007541000648204312,0.07087532984163962,8.716602912626502
0.8,1,17.0,0.633012070316,0.056890393544,0.008749590586435308,0.007876156779912723,0.07351614091034804,8.610518213788586
0.8,1,18.0,0.644876512073,0.058493808316,0.008749590586435308,0.008145073410399837,0.07538847231283514,8.554046690281686
0.8,1,19.0,0.653783993922,0.059433369524,0.008749590586435308,0.008351449612184161,0.07653440972261948,8.54235364578472
0.8,1,20.0,0.660221661324,0.059747890278,0.008749590586435308,0.008503026336466856,0.07700050720090217,8.574250811120171
0.9,1,-5.0,-0.23085039373,0.00765816629,0.008585361080077425,0.011371861230893168,0.02761538860097059,-8.359483803240282
0.9,1,-4.0,-0.184925731596,0.004910280795,0.008585361080077425,0.012787350862494275,0.026282992737571703,-7.035946531752737
0.9,1,-3.0,-0.138836424874,0.002766010708,0.008585361080077425,0.014336817750612461,0.025688189538689885,-5.404679246269714
0.9,1,-2.0,-0.09262055403,0.001230487086,0.008585361080077425,0.01602783319796888,0.025843681364046304,-3.5838761794538136
0.9,1,-1.0,-0.046328349976,0.000307788696,0.008585361080077425,0.017867361768341125,0.026760511544418553,-1.731220641993397
0.9,1,0.0,0.0,0.0,0.008585361080077425,0.01986248579476402,0.028447846874841448,0.0
0.9,1,1.0,0.046320415791,0.000307655471,0.008585361080077425,0.02201982438431199,0.030912840935389416,1.4984198924910779
0.9,1,2.0,0.092587240308,0.001229310972,0.008585361080077425,0.024345508260448876,0.0341601803125263,2.7103849997550773
0.9,1,3.0,0.138762557071,0.002762209062,0.008585361080077425,0.02684558952544168,0.03819315966751911,3.6331782517854596
0.9,1,4.0,0.184794103482,0.004901601911,0.008585361080077425,0.02952478358090545,0.043011746571982874,4.2963636264511
0.9,1,5.0,0.230644178965,0.007641318631,0.008585361080077425,0.03238795220974317,0.0486146319208206,4.74433662977545
0.9,1,6.0,0.276261868357,0.010972419742,0.008585361080077425,0.03543841046382313,0.05499619128590055,5.0232909206537295
0.9,1,7.0,0.321616526285,0.014885676117,0.008585361080077425,0.038680013984292806,0.06215105118137023,5.174756020561153
0.9,1,8.0,0.366655060591,0.019371175004,0.008585361080077425,0.04211419255354108,0.07007072863761851,5.232642327543256
0.9,1,9.0,0.411343967142,0.024413274487,0.008585361080077425,0.045742843508448615,0.07874147907552603,5.223980702057342
0.9,1,10.0,0.455638723366,0.029998454968,0.008585361080077425,0.04956602177125863,0.08814983781933605,5.168911646778477
0.9,1,11.0,0.498005264614,0.035824040954,0.008585361080077425,0.05344232680756802,0.09785172884164545,5.089386467764178
0.9,1,12.0,0.535300703425,0.041189776408,0.008585361080077425,0.057038965240409883,0.1068141027284873,5.011517110111298
0.9,1,13.0,0.566984691476,0.045824079336,0.008585361080077425,0.06023450585852312,0.11464394627460055,4.94561387583372
0.9,1,14.0,0.593438880392,0.049662781918,0.008585361080077425,0.0630038771527703,0.12125202015084771,4.894259738136421
0.9,1,15.0,0.615052059942,0.052637821616,0.008585361080077425,0.0653364480492091,0.12655963074528653,4.8597807714835355
0.9,1,16.0,0.632084002882,0.054662662921,0.008585361080077425,0.06721975137623194,0.13046777537730936,4.844751901793602
0.9,1,17.0,0.645350498341,0.055781869321,0.008585361080077425,0.0687146681876553,0.13308189858873273,4.849273306021485
0.9,1,18.0,0.655395225556,0.056015016116,0.008585361080077425,0.06986302498228185,0.13446340217835928,4.874153226367496
